№;Имя файла;Текст вопроса;Текст ответа
;Туринир020;Сколько деревьев на поле изображено на картинке;1
;Туринир021;Сколько самолетов недавно пролетало по небу;4
;Туринир022;Сколько дней жеребенку;0
;Туринир023;Сколько пирсов изображено на картинке;3
;Туринир024;Сколько досок на мостике изображено на картинке;23
;Турнир025;Какое число получается при сложении количества старых лавок и ступенек;7
;Турнир026;Сколько вертикальных проезжих дорог изображено на картинке;10
;Турнир027;Сколько куполов видно на картинке;3
;Турнир028;Сколько фунтов стоит бокал пива в баре на перекрестке;2
;Турнир029;Сколько составляет сумма цифр номера телефона круглосуточной службы;41
;Турнир030;Сколько составляет сумма всех цифр текущего времени в городе;12
;Турнир031;Сколько раз на картинке встречается имя Bob;1
;Турнир032;Сколько стульев изображено на картинке;7
;Турнир033;Сколько вертикальных прутьев у решетки радиатора изображено на картинке;31
;Турнир034;Сколько яхт изображено на картинке;0
;Турнир035;Сколько красных контейнеров изображено на картинке;22
;Турнир036;Сколько видов транспорта изображено на картинке;2
;Турнир037;Сколько балерин изображено на картинке;5
;Турнир038;Сколько рук человека изображено на картинке;1
;Турнир039;Сколько столбцов на страницах книги;2
;Турнир040;Сколько книг изображено на картинке;5
;Турнир041;Сколько сфинксов изображено на картинке;0
;Турнир042;Сколько яиц изображено на картинке;3
;Турнир043;Сколько радуг изображено на картинке;2
;Турнир044;Сколько мостиков изображено на картинке;0
;Турнир045;Сколько окон/дверей видно на картинке;3
;Турнир046;Сколько белых одуванчиков изображено на картинке;1
;Турнир047;Сколько букв на памятнике изображено на картинке;8
;Турнир048;Сколько вишен изображено на картинке;2
;Турнир049;Сколько ленточек-закладок изображено на картинке;8
;Турнир050;На скольких досках стоят ролики;3
;;;
;;;
;;;
;Беспл031;Сколько людей рядом с воздушным шаром изображено на картинке;2
;Беспл032;Сколько веревочек саше желтого оттенка изображено на картинке;3
;Беспл033;Сколько долек апельсина изображено на картинке;2
;Беспл034;Сколько половинок и четвертинок яблок изображено на картинке;3
;Беспл035;Сколько пирожных изображено на картинке;7
;Беспл036;Сколько цветов изображено на картинке;3
;;;
;;;
;Транспорт121;Сколько машин изображено на картинке;7
;Транспорт122;Цифры, изображенные на синей машине;5
;Транспорт123;Сколько надписей на передней двери видно на картинке;3
;Транспорт124;Сколько фар у гоночной машины;0
;Транспорт125;Сколько дверей на рыболовном судне изображено на картинке;3
;Транспорт126;Сколько лодок изображено на картинке;2
;;;
;;;
;;;
;;;
;Искусство121;Сколько плодов моркови изображено на картинке;4
;Искусство122;Сколько раз встречается красный цвет на глиняных фигурках;0
;Искусство123;Сколько клумб видно на картинке;4
;Искусство124;Сколько фонтанов изображено на картинке;1
;Искусство125;Сколько башен изображено на картинке;3
;Искусство126;Сколько машин изображено на картинке;1
;;;
;;;
;;;
;Природа121;Сколько мельниц изображено на картинке;3
;Природа122;Сколько кустов на валуне видно на картинке;1
;Природа123;Сколько лавок изображено на картинке;1
;Природа124;Сколько ящериц изображено на картинке;1
;Природа125;Сколько лошадей изображено на картинке;2
;Природа126;Сколько обезьян изображено на картинке;5
;;;
;;;
;Город121;Сколько окон со светом изображено на картинке;3
;Город122;Сколько коров изображено на картинке;2
;Город123;Сколько створок на окнах первого этажа изображено на картинке;5
;Город124;Сколько горшков на верхнем левом окне;6
;Город125;Сколько ножек у клумбы изображено на картинке;4
;Город126;Сколько куполов изображено на картинке;2
;;;
;;;
;;;
;Турнир051;Сколько плафонов изображено на картинке;16
;Турнир052;Сколько черных овец изображено на картинке;2
;Турнир053;Сколько тюков сена изображено на картинке;4
;Турнир054;Сколько леек изображено на картинке;1
;Турнир055;Сколько яблочных деревьев изображено на картинке;0
;Турнир056;Сколько следов на галечном пляже изображено на картинке;0
;;;
;;;
